video_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count,tags,url
KvNJjqfdpbI,역대급 매운맛이 난무하는 여자들의 숨바꼭질 게임,하우카우,20,2026-07-07T09:00:22Z,45579,1403,84,"하우카우,하우카우 우우우,HOWCOW,howcow,HOWCOW uuu,howcow uuu,하카,하우카우 방송,하우카우 트위치,하이라이트,매운맛 버튜버,부쿠키,미츄,이레인,감규리,에겐남,헥시아 아즈,아즈,박도나,헥시아,치지직 노가리,치지직 합방,분내,여장남자,걸즈토크,멧챠 카멜레온",https://www.youtube.com/watch?v=KvNJjqfdpbI
hs2vbznj0cI,제네패스로 빠른해방 ㄷㄷ 데슬 해방큐브 바로 달려봤습니다 ㄷㄷㄷ,진격캐넌,20,2026-07-07T06:33:29Z,87849,548,119,"메이플스토리,메이플,데슬,데몬슬레이어",https://www.youtube.com/watch?v=hs2vbznj0cI
iX48enFiua4,⟪성세천하: 여제의 탄생 II⟫ 1일차 | 이태 루트 엔딩까지 보기,침착맨 게임 풀버전,20,2026-07-06T13:00:13Z,87992,1987,357,"침착맨,이말년,침투부",https://www.youtube.com/watch?v=iX48enFiua4
Afwa6dNkIfI,촛불 185개 쓴 이문주 거꾸로 보내버리기 ㅋㅋㅋㅋ(with 이문주)⚔️리니지 클래식,김팥순,20,2026-07-07T07:02:32Z,50303,720,127,"리니지,리니지클래식,만만,불도그,이문주,케이,사또,원큐,수삼,인범,빅보스,데포로쥬,켄라우헬,데포서버,셀로브방,쌀먹,리니지 클래식,天堂,똘끼,트리플,트리플 애로우",https://www.youtube.com/watch?v=Afwa6dNkIfI
O5q43FjSklM,믹슈 본캐 100경 NEW팀 뮌헨 완성! 드디어 최초 공개!!!,두치와뿌꾸,20,2026-07-07T06:00:35Z,79231,562,185,"피파,축구,fc온라인,fc,엪온,뿌꾸,믹슈,두치와뿌꾸,피온,피파4,피파온라인,믹슈 본캐,본캐 스쿼드,뮌헨 스쿼드,케인,올리세,벨로드,스쿼드 추천,체감 좋은,스트라이커 추천,공격수 추천",https://www.youtube.com/watch?v=O5q43FjSklM
c8-NULhnH3k,라이벌 1위에게 운영자의 버그자리를 보여줬더니,마주 - 로블록스,20,2026-07-07T07:00:00Z,40168,876,49,,https://www.youtube.com/watch?v=c8-NULhnH3k
Qoo5gcBM6bk,그거 켰습니다,주키니TV,20,2026-07-06T10:30:13Z,112767,1454,95,"배그,배틀그라운드,PUBG,pubg,주키니,배그 솔로,배그 잘하는법,배그 포르쉐,배그 총,배그 이모트",https://www.youtube.com/watch?v=Qoo5gcBM6bk
slyFjVDM1tU,"""집에서 공짠데 PC방은 왜?"" 리그 오브 레전드 '접속 차단' 분노 터졌다 / SBS 8뉴스",SBS 뉴스,25,2026-07-07T12:32:57Z,97094,942,1700,"SBS NEWS,SBS 뉴스,custom:뉴스넷,format:리포트,genre:경제,language:한국어,location:서울,pc방,person:최승훈,sbs,sbs 실시간,series:8뉴스,source:영상,type:방송,게임,게임사,경기,경제,남양주시,뉴스 실시간,뉸,동대문구,리그,무료,실시간뉴스,에스비에스",https://www.youtube.com/watch?v=slyFjVDM1tU
TRFUDBlEOVg,"아란 콤보 12,000스택 쌓았습니다!!!!!",수찬 Suchan,20,2026-07-06T04:11:33Z,112676,310,70,"lol,리븐,리븐장인,꿀탱탱,전수찬,저라뎃,리그오브레전드,수찬,트할,탑강의,리븐강의,피오라강의,아트록스강의,탑라인관리,탑라인전,아프리카,김민교,이상호",https://www.youtube.com/watch?v=TRFUDBlEOVg
fOypDW86vvA,에공삼 띄웠으면 욕 처먹어,이라333 유튜브,20,2026-07-06T10:53:54Z,92846,726,181,"이라333,메이플스토리,메이플,챌린저스서버,챌섭",https://www.youtube.com/watch?v=fOypDW86vvA
6pf1falAGcE,"오묘한 탑, 원딜 시너지 - 제우스 & 구마유시",프로관전러 P.S,20,2026-07-06T14:53:49Z,137759,2020,449,"리그오브레전드,LOL,관전,꿀챔프,프로관전러,lol.ps",https://www.youtube.com/watch?v=6pf1falAGcE
TqbH4IDOKE8,포기는 배추 셀 때나 하는 말,잡상싱,20,2026-07-07T11:00:10Z,56894,603,55,,https://www.youtube.com/watch?v=TqbH4IDOKE8
7NyXebV9OfM,[리니지클래식] 37화. /교환 (ft.조슨조시여),불도그,20,2026-07-06T03:15:10Z,155653,1381,641,"불도그,lineage,NC소프트,모바일게임,스타,리니지w,天堂W,수삼티비,여포왕,리니지m,리니지,데포섭,데포로쥬,만만,수삼,빅보스,카즈야,똘끼,사또,이문주,인범,리니지2m,리니지클래식,클래식,pc리니지,집행검,리니지집행검,리니지불도그,원큐,재범군주",https://www.youtube.com/watch?v=7NyXebV9OfM
mA9_V4qwYek,감스트 메챠 카멜레온 색칠해서 숨바꼭질 하기 ㅋㅋㅋ [26.7.6],겜스트GAMEST,20,2026-07-07T06:52:45Z,43456,574,77,"감스트,겜스트,축구,스포츠,중계,풀영상,보라,아프리카,게임,토크,합방",https://www.youtube.com/watch?v=mA9_V4qwYek
d4SWAMtaIzw,신직업 '레테' 3주만에 제네 해방했습니다!! 무기 큐브까지 레전드ㄷㄷ,글자네,20,2026-07-06T09:25:19Z,120592,474,97,"메이플,글자,세글자,메이플스토리,글자네,글자 메이플,세글자 메이플,메이플 글자,메이플 세글자,글자네 메이플,레테,메이플 오버드라이브,메이플 레테,메이플 레테 스킬,메이플 레테 사냥,메이플 레테 테섭,메이플 레테 후기,메이플 레테 보스,레테 스킬,레테 사냥,레테 후기,메이플 챌섭 레테,메이플 챌섭,메이플 챌린저스,메이플 챌린저스 공략,메이플 챌린저스 육성,레테 템셋팅,메이플 레테 템셋팅,레테 해방,메이플 레테 해방",https://www.youtube.com/watch?v=d4SWAMtaIzw
