video_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count,tags,url
FFjDEkZg-54,i-dle (아이들) 'Gimme Dat Love' Official Music Video,i-dle (아이들),10,2026-07-06T09:00:01Z,2257251,124042,8895,"kpop,IDLE,여자아이들,아이들,미연,민니,소연,우기,슈화,MIYEON,MINNIE,SOYEON,YUQI,SHUHUA,큐브,CUBE,i-dle,idle",https://www.youtube.com/watch?v=FFjDEkZg-54
DrNM5QhAr_M,[호프] 인터내셔널 메인 예고편,플러스엠 엔터테인먼트,1,2026-07-06T01:30:09Z,585016,6487,2928,,https://www.youtube.com/watch?v=DrNM5QhAr_M
tiZKcuuyQoY,BLG vs LYON - T1 vs FUR | 브래킷 스테이지 승자조 2라운드 - 패자조 1라운드 | MSI 2026,LCK,20,2026-07-06T09:23:39Z,1618469,0,41,"LCK,LCK Korea,롤챔스,티원,에욱,SNL,LCK썸네일,편집자,스크,T1,SKT,skt,t1,썸네일,DK,GEN,DRX,KT,HLE,POG,MVP,WORLDS,롤드컵,MSI,ALLSTAR,lck 서머,lck 썸머,lck 써머,lck 스프링,lck summer,lck spring,LSB,NS,한화생명,농심,케이티,젠지,아프리카,담원,브리온,Brion,BRO,므시,올스타,매드무비,위클리 코맨터리,MIC Check,MIC 첵,롤분토론,동준좌,클템,성캐,위클리 매드무비,전프시,오프더레코드,월드챔피언십,단톡,롤더넥,마이크체크,광동,광동프릭스,KDF,Kwangdong Freecs,베스트모먼트,롤리나잇,레알클래스,성캐쇼,LCK10주년,혓바닥터스,헬리오스,캡틴잭,빠른별,샤이,리브샌박,디플러스 기아,디플,플레임,시크릿보드룸,단군,리뷰데스크,포니,꼬꼬갓,고수진,배혜지,함예진,윤수빈,2023LCK,2023롤챔스,노페,후니,박진영",https://www.youtube.com/watch?v=tiZKcuuyQoY
w_c-iRTVs2Q,[Official Performance] cosmosy 'Paradise ~ I need you ~' 😈✨,cosmosy_yt,10,2026-07-03T12:00:14Z,70062,988,69,,https://www.youtube.com/watch?v=w_c-iRTVs2Q
iyowqc-ioYk,와.. 드디어 떴습니다.. ≪호프≫ 메인 예고편 떡밥 & 분석 총정리,무비띵크_Movie Think,1,2026-07-06T09:09:12Z,305816,3721,1356,"영화리뷰,영화추천,무비띵크,마블,마블영화,마블유튜브,마블유튜버,마블띵크,디즈니플러스,MCU,떴냐,루머띵크,디즈니 마블,마블 디즈니,호프,hope,나홍진,황정민,조인성,나홍진 호프,호프 예고편,호프 티저,호프 티저예고편,호프 메인예고편,호프 공식 예고편,호프 외계인,호프 스토리,호프 떡밥,호프 결말,호프 배우,호프 메인 예고편,호프 음문석,음문석,호프 임현식,호프 괴물",https://www.youtube.com/watch?v=iyowqc-ioYk
XX_hhfRE16s,자! 이번엔 삼촌이 술래~,유병재,23,2026-07-06T10:01:10Z,178810,3196,109,"코미디,개그,라이브코미디,comedy,korea comedy,유병재,문상훈,유규선,웹예능,문학의밤,게임,시청자참여,두뇌게임",https://www.youtube.com/watch?v=XX_hhfRE16s
VhmQ1GL66GI,[성시경 노래] 68. 나와 같다면 (With.김장훈) l Sung Si Kyung Music,성시경 SUNG SI KYUNG,24,2026-07-06T09:00:06Z,174656,11546,1989,"성시경,성시경유튜브,SUNGSIKYUNG,SSK,ソンシギョン,成始璄",https://www.youtube.com/watch?v=VhmQ1GL66GI
_yBqV9UHFFc,"[5회 예고] “민지가 살아있었어” 소지섭, 딸 서수민이 남기고 떠난 흔적에 비장한 결심!",SBS 스브스 Drama,24,2026-07-04T14:12:13Z,158049,729,149,"sbs,20260704,소지섭,서수민,최대훈,윤경호,주상욱,김부장,김부장5회예고,김부장5회미리보기,김부장예고",https://www.youtube.com/watch?v=_yBqV9UHFFc
RqF_VEJpKZ8,돌아온 공포의 클래스 룸,이도원,20,2026-07-06T07:58:36Z,218896,6596,312,"이도원,돌아온,공포의,더 클래스 룸,the class rooms",https://www.youtube.com/watch?v=RqF_VEJpKZ8
LHWp8DG5-m8,What if,Seo Yeolmu - Topic,10,2026-06-10T09:04:54Z,51989,3599,475,"Seo Yeolmu,서열무,Lullaby,What if",https://www.youtube.com/watch?v=LHWp8DG5-m8
g4BhrY6o9kg,"《호프》 메인 예고편 드디어 떴다!!🔥 마이클 패스벤더 외계인 얼굴 최초공개ㄷㄷ 황정민, 조인성 VS 외계인 액션씬 대거 공개..",엘플릭스 [LPLIX],1,2026-07-06T09:25:28Z,77576,920,183,"엘플릭스,앨플릭스,LPLIX,영화,드라마,넷플릭스 뽕뽑기,넷플릭스 뽕 뽑기,엘플렉스,앨플렉스,영화 리뷰,드라마 리뷰,호프,hope,HOPE,영화 호프,호프 영화,HOPE 영화,영화 HOPE,호프 리뷰,호프 프리뷰,호프 예고편,호프 최종 예고편,호프 마지막 예고편,호프 인터내셔널 예고편,호프 인터내셔널 메인예고편,호프 파이널 예고편,조인성,황정민,음문석,정호연,마이클 패스밴더,호프 배우,호프 출연진,호프 CG,호프 퀄리티,호프 칸 영화제,칸 영화제 호프,마이클 패스벤더",https://www.youtube.com/watch?v=g4BhrY6o9kg
f8YERFfe6pI,속는 사람이 아무도 없는 숨바꼭질ㅋㅋㅋ 【메챠카멜레온】,튜브김민교,20,2026-07-06T12:12:48Z,135865,988,60,"김민교,민교,교튜브,튜브 김민교",https://www.youtube.com/watch?v=f8YERFfe6pI
oMK1cYhIVwg,PSY - ‘나팔바지’ Live Performance at 싸이흠뻑쇼 SUMMERSWAG 2026,officialpsy,24,2026-07-06T03:00:07Z,95762,2662,221,,https://www.youtube.com/watch?v=oMK1cYhIVwg
rfKRv-8-Tu8,≪호프 ≫가 숨긴 무서운 목적이 밝혀졌다..! 마지막 예고편 분석,김시선,1,2026-07-06T10:51:22Z,50265,541,148,"영화,영화리뷰,시네마,개봉작,극장,무비,예고편,영화소개,어드벤쳐,슈퍼히어로,베스트,순위,흥행기록,비하인드,다시보기,감독,김시선,영화추천,드라마,드라마추천,요약",https://www.youtube.com/watch?v=rfKRv-8-Tu8
Yqzsa-03k8Y,잘 먹었습니다,괴물쥐 유튜브,20,2026-07-05T13:30:12Z,397241,2040,289,"#리그오브레전드,#롤,#괴물쥐,#원딜,#장지환,전략적팀전투,tft",https://www.youtube.com/watch?v=Yqzsa-03k8Y
5ChdCnHWegY,허들 (Art. 교은) - Anonymous Artists (어나니머스 아티스트),Anonymous Artists (어나니머스 아티스트),10,2026-07-05T03:00:22Z,41551,951,68,"Anonymous Artists,어나니머스 아티스트,어나니머스,anonymous,노래추천,인디음악,싱어송라이터,오노추,숨듣명,가사좋은노래,인디음악추천,플레이리스트,플리추천,음악추천,KoreanIndie,신곡추천,플리,#번아웃,교은,허들,Kyoeun,Hurdle,인디팝,playlist,감성노래,청량한노래,희망찬노래,힐링,위로,긍정적인노래,드라이브노래,아침에듣기좋은노래,산책할때듣는노래,청춘,성장,도전",https://www.youtube.com/watch?v=5ChdCnHWegY
