단어,빈도
카페,1565
커피,171
추천,162
후기,150
공간,136
맛집,120
방문,105
여행,103
매장,83
다양,81
사용,74
병원,74
가능,72
디저트,69
분위기,69
식당,69
시간,67
위치,64
대형,63
음식점,63
