term_id,article_id,term,term_type,source_field,position,published_date,tags,relevance_score,source_url,collected_at
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_1,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,밈 없냐 밈 소개시켜줘야쥬 ㅋㅅㅋ,phrase,h2,1,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_2,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,👱 남쟈 없냐 남쟈,phrase,h3,2,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_3,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,🚨 (That’s red red),phrase,h3,3,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_4,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,💅 난 널 버리지 않아 옵 옵 옵 옵 인간 여짜,phrase,h3,4,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_5,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,🥱 라을라,keyword,h3,5,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_6,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,🥇 골든이여라,keyword,h3,6,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9_7,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,🤖 난 감정 없는 싸이코라 그런가…,phrase,h3,7,2026-05-18,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%_1,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,내가 밈이라면 사귈 수 있을까,phrase,h2,1,2026-03-30,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%_2,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,🦖 널 좋아하는 마음이 커졌어 막 공룡만 해,phrase,h3,2,2026-03-30,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%_3,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,🫀 일하는 중에 갑자기 몸이 안 좋아졌어요 릴스,phrase,h3,3,2026-03-30,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,2026-07-09T15:19:51+09:00
